Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified
POST_02783,2024-01-09 19:32:00,YouTube,Community Post,Education,13734,469,172,726267,4479,272386,5.28,19,Tuesday,2,339,Positive,Macro,True,False
POST_00147,2024-01-09 21:52:00,Facebook,Video,Gaming,3309,303,203,21871,590,93599,4.08,21,Tuesday,8,347,Negative,Mid-tier,True,True
POST_01364,2024-01-09 22:21:00,Facebook,Live,Business,6830,129,742,57034,78,235288,3.27,22,Tuesday,16,42,Neutral,Macro,True,False
POST_02243,2024-01-10 05:26:00,Facebook,Live,Sports,478,266,811,76686,562,382495,0.41,5,Wednesday,22,490,Positive,Macro,True,False
POST_01461,2024-01-10 10:00:00,Twitter,Thread,Fitness,4449,21,209,57922,448,351032,1.33,10,Wednesday,29,303,Neutral,Macro,True,False
POST_04354,2024-01-10 11:46:00,YouTube,Community Post,Lifestyle,4676,219,376,470105,4140,384995,1.37,11,Wednesday,5,1444,Neutral,Macro,True,False
POST_00471,2024-01-10 14:57:00,Instagram,Photo,Technology,9883,67,77,43316,382,404723,2.48,14,Wednesday,15,695,Negative,Macro,False,False
POST_04025,2024-01-10 15:51:00,LinkedIn,Poll,Lifestyle,1895,17,158,15208,205,406984,0.51,15,Wednesday,7,866,Neutral,Macro,False,True
POST_04594,2024-01-10 16:29:00,Twitter,Thread,Education,400,4,1034,45335,106,245639,0.59,16,Wednesday,15,228,Neutral,Macro,True,False
POST_03823,2024-01-10 21:11:00,TikTok,Stitch,Entertainment,35475,1898,2937,187442,1847,52432,76.88,21,Wednesday,6,87,Positive,Mid-tier,True,False
POST_04447,2024-01-10 21:32:00,Instagram,Photo,Food,5088,262,199,14888,660,435000,1.28,21,Wednesday,9,1786,Neutral,Macro,False,False
POST_02198,2024-01-10 22:53:00,TikTok,Duet,Lifestyle,32338,66,969,479514,2703,279271,11.95,22,Wednesday,18,447,Positive,Macro,True,False
POST_02303,2024-01-11 00:33:00,Facebook,Live,Sports,3204,107,380,57955,489,261013,1.41,0,Thursday,13,573,Positive,Macro,True,False
POST_04612,2024-01-11 11:14:00,Instagram,Story,Health,2366,255,107,32084,535,892,305.83,11,Thursday,21,1100,Neutral,Nano,True,True
POST_03896,2024-01-11 14:24:00,TikTok,Duet,Technology,30187,821,4505,71771,2764,225519,15.75,14,Thursday,5,152,Neutral,Macro,True,False
POST_02056,2024-01-11 21:15:00,LinkedIn,Article,Sports,170,19,259,25386,143,333768,0.13,21,Thursday,13,931,Neutral,Macro,True,True
POST_03661,2024-01-11 22:51:00,Facebook,Post,Food,6580,9,900,31319,646,30230,24.77,22,Thursday,24,1861,Neutral,Micro,True,False
POST_00991,2024-01-12 08:41:00,TikTok,Video,Health,31852,1590,801,323063,616,86675,39.51,8,Friday,28,21,Positive,Mid-tier,True,False
POST_04724,2024-01-12 12:53:00,Twitter,Poll,Health,2640,172,1471,29943,329,466337,0.92,12,Friday,16,1184,Neutral,Macro,False,False
POST_02826,2024-01-12 15:29:00,TikTok,Duet,Gaming,25781,1671,3381,20430,224,452037,6.82,15,Friday,26,16,Neutral,Macro,False,True
POST_02458,2024-01-12 20:49:00,Facebook,Post,Gaming,6543,54,632,43676,465,374670,1.93,20,Friday,24,789,Positive,Macro,True,False
POST_04902,2024-01-12 20:49:00,Facebook,Live,Business,504,234,46,44411,268,182875,0.43,20,Friday,5,326,Positive,Macro,True,False
POST_01847,2024-01-12 20:59:00,Instagram,Carousel,Food,4453,438,291,663,248,148198,3.5,20,Friday,27,1250,Neutral,Macro,True,False
POST_04101,2024-01-12 21:17:00,Facebook,Post,Sports,6260,5,169,6216,458,21174,30.39,21,Friday,4,1236,Positive,Micro,True,False
POST_00057,2024-01-12 21:46:00,Instagram,Photo,Gaming,5741,410,126,10052,350,259233,2.42,21,Friday,1,1804,Positive,Macro,True,True
POST_01124,2024-01-13 00:33:00,TikTok,Stitch,Fitness,38874,81,4338,232603,1319,286335,15.12,0,Saturday,9,467,Positive,Macro,True,False
POST_01437,2024-01-13 07:02:00,Twitter,Thread,Health,2813,177,396,67504,147,475435,0.71,7,Saturday,16,554,Positive,Macro,True,False
POST_04128,2024-01-13 12:13:00,YouTube,Community Post,Health,4016,921,1195,677761,1270,471826,1.3,12,Saturday,13,1970,Negative,Macro,True,False
POST_00343,2024-01-13 18:18:00,Instagram,Reel,Fitness,1899,280,211,45999,436,351424,0.68,18,Saturday,7,205,Neutral,Macro,True,False
POST_04713,2024-01-13 18:53:00,Twitter,Tweet,Fashion,1910,32,362,17951,484,195649,1.18,18,Saturday,24,1569,Neutral,Macro,True,False
POST_04636,2024-01-13 19:06:00,YouTube,Community Post,Technology,9823,417,589,639335,3961,453322,2.39,19,Saturday,22,739,Neutral,Macro,True,False
POST_04642,2024-01-14 00:50:00,Twitter,Thread,Travel,2576,103,975,63465,221,316317,1.16,0,Sunday,4,1229,Positive,Macro,True,False
POST_03566,2024-01-14 05:41:00,LinkedIn,Poll,Sports,1545,120,12,2194,209,70581,2.38,5,Sunday,1,550,Positive,Mid-tier,True,False
POST_04720,2024-01-14 09:07:00,YouTube,Video,Health,7987,542,791,398393,3449,223902,4.16,9,Sunday,10,160,Positive,Macro,True,False
POST_04522,2024-01-14 21:15:00,Facebook,Live,Business,1062,134,81,28161,138,328440,0.39,21,Sunday,29,311,Positive,Macro,True,True
POST_04559,2024-01-14 21:35:00,YouTube,Short,Gaming,1100,821,1467,711542,4223,448840,0.75,21,Sunday,12,595,Negative,Macro,False,False
POST_02951,2024-01-15 05:40:00,TikTok,Stitch,Business,19793,1018,4074,257816,1086,295403,8.42,5,Monday,8,20,Neutral,Macro,True,False
POST_04115,2024-01-15 10:52:00,Facebook,Post,Sports,4674,114,267,12139,303,122533,4.13,10,Monday,7,1408,Positive,Macro,True,True
POST_00338,2024-01-15 22:34:00,LinkedIn,Article,Fashion,1574,48,478,23296,7,40387,5.2,22,Monday,1,1264,Neutral,Micro,False,False
POST_00110,2024-01-16 02:59:00,Instagram,Story,Education,150,43,291,2900,309,235868,0.21,2,Tuesday,25,1100,Positive,Macro,True,False
POST_01086,2024-01-16 06:59:00,Facebook,Video,Technology,286,219,454,69548,168,128453,0.75,6,Tuesday,5,252,Neutral,Macro,True,False
POST_02563,2024-01-16 08:26:00,Instagram,Photo,Technology,9875,148,105,34673,464,240935,4.2,8,Tuesday,20,170,Positive,Macro,True,False
POST_02331,2024-01-16 15:13:00,Twitter,Retweet,Technology,2508,106,230,19802,32,60754,4.68,15,Tuesday,0,702,Negative,Mid-tier,True,True
POST_02175,2024-01-16 23:45:00,Instagram,Story,Education,1379,34,296,4199,917,209384,0.82,23,Tuesday,9,231,Positive,Macro,True,False
POST_02110,2024-01-17 06:33:00,YouTube,Video,Gaming,4368,808,275,190721,807,8798,61.96,6,Wednesday,6,504,Positive,Nano,False,False
POST_01046,2024-01-17 07:13:00,Facebook,Video,Education,647,131,266,5057,494,211133,0.49,7,Wednesday,26,492,Neutral,Macro,False,True
POST_01100,2024-01-17 08:35:00,Twitter,Poll,Sports,3399,215,947,53196,380,498316,0.92,8,Wednesday,7,1306,Positive,Macro,True,True
POST_00758,2024-01-17 11:50:00,Facebook,Live,Lifestyle,7091,159,835,35164,583,64065,12.62,11,Wednesday,11,595,Neutral,Mid-tier,False,False
POST_04114,2024-01-17 13:01:00,Instagram,Reel,Health,412,142,210,40620,74,371799,0.21,13,Wednesday,21,99,Positive,Macro,True,True
POST_02435,2024-01-17 16:08:00,YouTube,Live,Health,19639,806,321,725703,2092,216772,9.58,16,Wednesday,24,34,Neutral,Macro,True,True
POST_04614,2024-01-17 17:42:00,Instagram,Photo,Technology,3668,263,261,3706,470,313065,1.34,17,Wednesday,10,211,Neutral,Macro,True,False
POST_04867,2024-01-17 19:59:00,Twitter,Poll,Fitness,26,207,1207,94651,187,216637,0.66,19,Wednesday,19,183,Positive,Macro,False,False
POST_03820,2024-01-17 22:08:00,Facebook,Video,Business,5171,250,163,70298,748,230965,2.42,22,Wednesday,6,177,Negative,Macro,True,False
POST_03576,2024-01-17 22:12:00,Twitter,Retweet,Fitness,3940,142,1944,37624,55,94953,6.35,22,Wednesday,7,1786,Neutral,Mid-tier,True,True
POST_00910,2024-01-18 11:21:00,Twitter,Poll,Fashion,1613,51,1235,89627,346,417600,0.69,11,Thursday,24,1358,Negative,Macro,True,False
POST_04696,2024-01-18 11:35:00,TikTok,Video,Fashion,5391,243,3142,9876,2778,334144,2.63,11,Thursday,8,199,Negative,Macro,True,False
POST_01126,2024-01-18 16:52:00,Facebook,Post,Fashion,3046,9,192,60195,750,331736,0.98,16,Thursday,26,1143,Positive,Macro,True,False
POST_03285,2024-01-19 01:27:00,Facebook,Post,Food,3401,57,340,76452,437,191616,1.98,1,Friday,23,1621,Positive,Macro,True,False
POST_04097,2024-01-19 19:06:00,Instagram,Photo,Gaming,5564,46,94,22263,290,389329,1.47,19,Friday,25,1257,Neutral,Macro,True,False
POST_04987,2024-01-19 20:50:00,LinkedIn,Poll,Entertainment,1615,83,358,1184,201,419135,0.49,20,Friday,7,1133,Neutral,Macro,True,False
POST_01760,2024-01-19 21:00:00,Facebook,Video,Sports,7957,303,613,33600,654,333889,2.66,21,Friday,21,408,Positive,Macro,True,False
POST_03762,2024-01-20 03:42:00,LinkedIn,Post,Business,1964,112,118,26278,250,344068,0.64,3,Saturday,14,1150,Negative,Macro,True,False
POST_03791,2024-01-20 08:35:00,Instagram,Carousel,Technology,1169,171,63,49825,262,51542,2.72,8,Saturday,24,1665,Positive,Mid-tier,True,False
POST_01523,2024-01-20 12:50:00,Twitter,Retweet,Fitness,4251,281,83,43738,197,105394,4.38,12,Saturday,4,520,Neutral,Macro,True,False
POST_02948,2024-01-20 15:58:00,Facebook,Video,Sports,4917,86,380,16484,458,177685,3.03,15,Saturday,9,282,Neutral,Macro,True,False
POST_03344,2024-01-20 20:45:00,Instagram,Reel,Entertainment,1417,62,92,32890,871,487213,0.32,20,Saturday,16,53,Positive,Macro,True,False
POST_02098,2024-01-20 23:46:00,Facebook,Story,Travel,4929,226,92,71992,436,117699,4.46,23,Saturday,27,415,Positive,Macro,True,False
POST_01783,2024-01-21 01:44:00,Facebook,Post,Sports,7406,273,937,20661,728,220994,3.9,1,Sunday,2,833,Neutral,Macro,True,False
POST_03371,2024-01-21 01:55:00,Instagram,Photo,Travel,1488,333,46,21794,342,383497,0.49,1,Sunday,5,314,Positive,Macro,True,False
POST_00755,2024-01-21 12:55:00,Instagram,Story,Travel,5701,337,47,4501,73,319398,1.91,12,Sunday,6,429,Positive,Macro,True,False
POST_01547,2024-01-21 16:30:00,TikTok,Stitch,Food,39344,1057,3856,483575,2839,7666,577.32,16,Sunday,22,289,Positive,Nano,True,False
POST_00278,2024-01-21 19:09:00,Facebook,Story,Lifestyle,7105,184,663,57034,787,388195,2.05,19,Sunday,15,379,Positive,Macro,True,True
POST_03317,2024-01-21 22:30:00,Facebook,Video,Education,3160,17,801,64490,756,197420,2.01,22,Sunday,20,489,Positive,Macro,True,False
POST_03432,2024-01-22 00:59:00,YouTube,Video,Gaming,1601,167,967,69858,314,94188,2.9,0,Monday,22,315,Negative,Mid-tier,True,False
POST_03605,2024-01-22 05:18:00,Instagram,Reel,Technology,5014,121,200,34570,591,338316,1.58,5,Monday,6,396,Positive,Macro,True,True
POST_00634,2024-01-22 10:10:00,Facebook,Post,Health,4000,301,563,17282,533,223263,2.18,10,Monday,14,1175,Positive,Macro,False,False
POST_04147,2024-01-22 19:48:00,Instagram,Carousel,Technology,3582,261,269,32102,371,67550,6.09,19,Monday,13,1344,Neutral,Mid-tier,True,True
POST_02369,2024-01-22 22:24:00,Twitter,Tweet,Education,4511,242,36,26120,204,412694,1.16,22,Monday,27,1131,Positive,Macro,True,True
POST_01552,2024-01-23 04:37:00,Facebook,Story,Entertainment,3406,66,294,43825,71,469285,0.8,4,Tuesday,9,874,Neutral,Macro,True,False
POST_02276,2024-01-24 04:46:00,Facebook,Story,Health,2646,146,360,15128,399,239280,1.32,4,Wednesday,19,1801,Neutral,Macro,True,False
POST_03084,2024-01-24 09:26:00,Facebook,Live,Gaming,3969,175,183,5188,382,367915,1.18,9,Wednesday,10,337,Neutral,Macro,True,True
POST_03769,2024-01-24 10:27:00,Instagram,Carousel,Entertainment,980,463,10,46112,430,164423,0.88,10,Wednesday,20,549,Positive,Macro,True,False
POST_04937,2024-01-24 16:32:00,YouTube,Live,Education,18368,441,862,395961,989,39996,49.18,16,Wednesday,27,448,Positive,Micro,False,True
POST_04375,2024-01-24 18:36:00,Facebook,Post,Sports,7706,42,138,7407,198,143074,5.51,18,Wednesday,27,1042,Positive,Macro,True,False
POST_04819,2024-01-24 21:27:00,TikTok,Stitch,Technology,49227,86,4822,379735,1115,344496,15.71,21,Wednesday,17,457,Positive,Macro,True,True
POST_03045,2024-01-25 14:29:00,LinkedIn,Document,Food,1699,140,161,19708,239,57036,3.51,14,Thursday,24,1820,Positive,Mid-tier,True,True
POST_02883,2024-01-25 19:05:00,Instagram,Photo,Gaming,9387,466,117,43543,76,456679,2.18,19,Thursday,19,1434,Negative,Macro,True,False
POST_00183,2024-01-25 21:12:00,YouTube,Video,Travel,19119,832,500,707443,3959,99624,20.53,21,Thursday,1,32,Neutral,Mid-tier,False,False
POST_03126,2024-01-26 12:39:00,Facebook,Live,Gaming,4105,21,179,58944,767,313836,1.37,12,Friday,17,120,Neutral,Macro,True,False
POST_01243,2024-01-26 15:06:00,TikTok,Stitch,Entertainment,28457,874,808,482007,544,162847,18.51,15,Friday,14,16,Neutral,Macro,False,False
POST_02695,2024-01-26 15:57:00,YouTube,Community Post,Health,11912,44,699,370992,966,413785,3.06,15,Friday,28,564,Positive,Macro,True,False
POST_01970,2024-01-26 16:52:00,Instagram,Photo,Technology,4419,362,178,6368,793,351262,1.41,16,Friday,1,177,Neutral,Macro,True,False
POST_04906,2024-01-26 23:46:00,Instagram,Carousel,Gaming,5039,401,199,46894,47,66810,8.44,23,Friday,19,699,Neutral,Mid-tier,True,False
POST_01183,2024-01-27 02:22:00,Facebook,Story,Lifestyle,2704,316,297,26466,794,10611,31.26,2,Saturday,17,379,Positive,Micro,True,False
POST_00547,2024-01-27 04:00:00,Instagram,Carousel,Education,7298,278,277,8550,967,224881,3.49,4,Saturday,24,1626,Neutral,Macro,True,False
POST_04884,2024-01-27 04:50:00,Instagram,Story,Food,7597,340,80,23442,462,418644,1.91,4,Saturday,22,312,Neutral,Macro,True,False
POST_01612,2024-01-27 06:10:00,LinkedIn,Post,Lifestyle,1596,75,145,16202,192,28123,6.46,6,Saturday,7,1132,Positive,Micro,True,False
POST_01528,2024-01-27 10:38:00,Twitter,Thread,Travel,132,190,1140,39062,314,492341,0.3,10,Saturday,25,1198,Positive,Macro,True,False
POST_02282,2024-01-27 12:33:00,Twitter,Thread,Entertainment,4938,80,350,87624,253,75802,7.08,12,Saturday,11,1965,Positive,Mid-tier,True,True
POST_03900,2024-01-27 14:33:00,TikTok,Video,Lifestyle,21899,852,1624,216540,1355,208930,11.67,14,Saturday,26,259,Neutral,Macro,True,False
POST_01719,2024-01-27 20:31:00,YouTube,Video,Technology,4055,392,410,714341,968,461106,1.05,20,Saturday,24,387,Positive,Macro,True,True
POST_04706,2024-01-27 22:27:00,Twitter,Tweet,Gaming,4209,6,1592,55421,209,474433,1.22,22,Saturday,18,1709,Negative,Macro,False,False
POST_00808,2024-01-27 23:11:00,YouTube,Live,Technology,19439,416,1257,103552,111,404640,5.22,23,Saturday,10,235,Negative,Macro,False,True
POST_04085,2024-01-28 02:40:00,Instagram,Reel,Travel,5243,246,50,32559,743,199357,2.78,2,Sunday,23,555,Neutral,Macro,True,False
POST_04044,2024-01-28 05:12:00,Facebook,Post,Food,7415,241,458,69266,94,25271,32.11,5,Sunday,15,1971,Neutral,Micro,True,False
POST_03577,2024-01-28 06:30:00,Instagram,Story,Lifestyle,7180,59,151,45196,972,399546,1.85,6,Sunday,24,1747,Negative,Macro,True,False
POST_00188,2024-01-29 03:56:00,Facebook,Post,Gaming,7237,175,443,10194,605,456017,1.72,3,Monday,16,680,Positive,Macro,True,True
POST_03362,2024-01-29 07:51:00,Twitter,Poll,Lifestyle,2589,122,805,35253,169,235928,1.49,7,Monday,10,290,Neutral,Macro,True,False
POST_00731,2024-01-29 10:59:00,Instagram,Story,Business,9569,107,246,42216,833,286216,3.47,10,Monday,22,1440,Positive,Macro,True,False
POST_01690,2024-01-29 12:03:00,TikTok,Video,Gaming,47487,1549,256,159641,864,479906,10.27,12,Monday,18,598,Positive,Macro,True,False
POST_03688,2024-01-29 17:37:00,Twitter,Tweet,Travel,2301,74,1385,30622,95,404521,0.93,17,Monday,8,1413,Neutral,Macro,True,False
POST_03302,2024-01-29 18:02:00,YouTube,Short,Travel,13117,628,930,295203,1543,431364,3.4,18,Monday,15,202,Positive,Macro,True,False
POST_00459,2024-01-30 01:20:00,Instagram,Carousel,Lifestyle,8458,200,282,3773,656,197652,4.52,1,Tuesday,19,827,Neutral,Macro,False,False
POST_00852,2024-01-30 02:02:00,LinkedIn,Document,Fitness,933,23,105,25316,208,225511,0.47,2,Tuesday,25,1157,Positive,Macro,True,False
POST_03509,2024-01-30 02:29:00,TikTok,Duet,Lifestyle,27941,1035,4109,372278,2894,216608,15.27,2,Tuesday,16,505,Positive,Macro,True,True
POST_04293,2024-01-30 05:59:00,Facebook,Post,Lifestyle,2076,216,192,53218,541,46036,5.4,5,Tuesday,4,1976,Positive,Micro,True,False
POST_03367,2024-01-30 08:50:00,Twitter,Poll,Sports,427,134,1710,42573,480,42382,5.36,8,Tuesday,0,197,Positive,Micro,False,False
POST_00260,2024-01-30 12:21:00,Instagram,Reel,Fitness,3768,498,25,39951,71,171219,2.51,12,Tuesday,10,524,Negative,Macro,True,True
POST_02999,2024-01-30 15:32:00,Twitter,Poll,Lifestyle,1831,147,384,17551,261,448750,0.53,15,Tuesday,11,1986,Neutral,Macro,True,False
POST_00309,2024-01-30 15:54:00,TikTok,Stitch,Fitness,17512,1627,1262,489469,642,134117,15.21,15,Tuesday,1,146,Neutral,Macro,True,True
POST_02725,2024-01-30 15:57:00,Twitter,Poll,Gaming,2067,150,1269,29794,296,258757,1.35,15,Tuesday,21,1364,Positive,Macro,True,False
POST_00410,2024-01-30 20:38:00,Instagram,Reel,Sports,8616,380,36,18276,38,13508,66.86,20,Tuesday,16,518,Neutral,Micro,True,False
POST_01262,2024-01-30 23:39:00,TikTok,Duet,Fitness,42835,1976,1787,442991,291,15540,299.86,23,Tuesday,0,507,Neutral,Micro,True,False
