Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,month,year,total_engagement,engagement_per_1k_views,engagement_per_1k_followers,Engagement_Rate_winsorized,Views_winsorized,Likes_winsorized,total_engagement_winsorized,is_sports_fitness_health,influencer_tier_norm
POST_01115,2024-01-07 13:08:00,Facebook,Live,Health,6283,165,569,49857,522,352767,1.99,13,Sunday,10,523,Positive,Macro,True,True,1,2024,7539,151.21246765750047,21.371046611502777,1.99,49857.0,6283.0,7539.0,True,macro
POST_02131,2024-01-08 18:33:00,Instagram,Carousel,Health,6342,62,163,23890,486,44931,14.62,18,Monday,20,537,Positive,Micro,True,False,1,2024,7053,295.22812892423605,156.97402684115644,14.62,23890.0,6342.0,7053.0,True,micro
POST_04253,2024-01-08 21:37:00,Twitter,Poll,Health,4073,129,1122,96934,425,26858,19.82,21,Monday,26,1660,Negative,Micro,True,True,1,2024,5749,59.30839540305775,214.0516792017276,19.82,96934.0,4073.0,5749.0,True,micro
POST_04753,2024-01-09 11:48:00,LinkedIn,Post,Health,472,94,425,18259,112,277798,0.36,11,Tuesday,18,755,Positive,Macro,True,False,1,2024,1103,60.40856563886303,3.9705109468030724,0.36,18259.0,472.0,1103.0,True,macro
POST_03917,2024-01-09 16:37:00,LinkedIn,Poll,Health,794,7,127,14918,32,74896,1.24,16,Tuesday,20,1079,Neutral,Mid-tier,False,True,1,2024,960,64.35178978415337,12.81777397991882,1.24,14918.0,794.0,960.0,True,mid-tier
POST_00483,2024-01-09 18:55:00,Facebook,Video,Sports,4283,106,38,73605,646,497216,0.89,18,Tuesday,5,291,Positive,Macro,True,True,1,2024,5073,68.92194823721215,10.202809241858668,0.89,73605.0,4283.0,5073.0,True,macro
POST_02243,2024-01-10 05:26:00,Facebook,Live,Sports,478,266,811,76686,562,382495,0.41,5,Wednesday,22,490,Positive,Macro,True,False,1,2024,2117,27.606081944553114,5.534712872063687,0.41,76686.0,478.0,2117.0,True,macro
POST_01461,2024-01-10 10:00:00,Twitter,Thread,Fitness,4449,21,209,57922,448,351032,1.33,10,Wednesday,29,303,Neutral,Macro,True,False,1,2024,5127,88.5155899312869,14.605506050730417,1.33,57922.0,4449.0,5127.0,True,macro
POST_02303,2024-01-11 00:33:00,Facebook,Live,Sports,3204,107,380,57955,489,261013,1.41,0,Thursday,13,573,Positive,Macro,True,False,1,2024,4180,72.124924510396,16.014528012014726,1.41,57955.0,3204.0,4180.0,True,macro
POST_04612,2024-01-11 11:14:00,Instagram,Story,Health,2366,255,107,32084,535,892,305.83,11,Thursday,21,1100,Neutral,Nano,True,True,1,2024,3263,101.70178282009725,3658.0717488789237,167.99900000000105,32084.0,2366.0,3263.0,True,nano
POST_02056,2024-01-11 21:15:00,LinkedIn,Article,Sports,170,19,259,25386,143,333768,0.13,21,Thursday,13,931,Neutral,Macro,True,True,1,2024,591,23.280548333727253,1.7706910189113396,0.13,25386.0,170.0,591.0,True,macro
POST_00991,2024-01-12 08:41:00,TikTok,Video,Health,31852,1590,801,323063,616,86675,39.51,8,Friday,28,21,Positive,Mid-tier,True,False,1,2024,34859,107.90155480509993,402.1805595615806,39.51,323063.0,31852.0,34859.0,True,mid-tier
POST_04724,2024-01-12 12:53:00,Twitter,Poll,Health,2640,172,1471,29943,329,466337,0.92,12,Friday,16,1184,Neutral,Macro,False,False,1,2024,4612,154.02598270046423,9.889843610950878,0.92,29943.0,2640.0,4612.0,True,macro
POST_04101,2024-01-12 21:17:00,Facebook,Post,Sports,6260,5,169,6216,458,21174,30.39,21,Friday,4,1236,Positive,Micro,True,False,1,2024,6892,1108.7516087516087,325.493529800699,30.39,6216.0,6260.0,6892.0,True,micro
POST_01124,2024-01-13 00:33:00,TikTok,Stitch,Fitness,38874,81,4338,232603,1319,286335,15.12,0,Saturday,9,467,Positive,Macro,True,False,1,2024,44612,191.7946028211158,155.80351685962245,15.12,232603.0,38874.0,44612.0,True,macro
POST_01437,2024-01-13 07:02:00,Twitter,Thread,Health,2813,177,396,67504,147,475435,0.71,7,Saturday,16,554,Positive,Macro,True,False,1,2024,3533,52.337639251007346,7.431089423370176,0.71,67504.0,2813.0,3533.0,True,macro
POST_04128,2024-01-13 12:13:00,YouTube,Community Post,Health,4016,921,1195,677761,1270,471826,1.3,12,Saturday,13,1970,Negative,Macro,True,False,1,2024,7402,10.921253952351936,15.687986673053201,1.3,677761.0,4016.0,7402.0,True,macro
POST_00343,2024-01-13 18:18:00,Instagram,Reel,Fitness,1899,280,211,45999,436,351424,0.68,18,Saturday,7,205,Neutral,Macro,True,False,1,2024,2826,61.4361181764821,8.041568020397014,0.68,45999.0,1899.0,2826.0,True,macro
POST_03566,2024-01-14 05:41:00,LinkedIn,Poll,Sports,1545,120,12,2194,209,70581,2.38,5,Sunday,1,550,Positive,Mid-tier,True,False,1,2024,1886,859.6171376481313,26.721072243238265,2.38,2194.0,1545.0,1886.0,True,mid-tier
POST_04720,2024-01-14 09:07:00,YouTube,Video,Health,7987,542,791,398393,3449,223902,4.16,9,Sunday,10,160,Positive,Macro,True,False,1,2024,12769,32.051265960998315,57.02941465462569,4.16,398393.0,7987.0,12769.0,True,macro
POST_04115,2024-01-15 10:52:00,Facebook,Post,Sports,4674,114,267,12139,303,122533,4.13,10,Monday,7,1408,Positive,Macro,True,True,1,2024,5358,441.38726418980144,43.726995992916194,4.13,12139.0,4674.0,5358.0,True,macro
POST_01100,2024-01-17 08:35:00,Twitter,Poll,Sports,3399,215,947,53196,380,498316,0.92,8,Wednesday,7,1306,Positive,Macro,True,True,1,2024,4941,92.88292352808482,9.915395050530186,0.92,53196.0,3399.0,4941.0,True,macro
POST_04114,2024-01-17 13:01:00,Instagram,Reel,Health,412,142,210,40620,74,371799,0.21,13,Wednesday,21,99,Positive,Macro,True,True,1,2024,838,20.630231413096997,2.2539060083539764,0.21,40620.0,412.0,838.0,True,macro
POST_02435,2024-01-17 16:08:00,YouTube,Live,Health,19639,806,321,725703,2092,216772,9.58,16,Wednesday,24,34,Neutral,Macro,True,True,1,2024,22858,31.497733921452713,105.44719797759858,9.58,725703.0,19639.0,22858.0,True,macro
POST_04867,2024-01-17 19:59:00,Twitter,Poll,Fitness,26,207,1207,94651,187,216637,0.66,19,Wednesday,19,183,Positive,Macro,False,False,1,2024,1627,17.189464453624367,7.510259097014822,0.66,94651.0,26.0,1627.0,True,macro
POST_03576,2024-01-17 22:12:00,Twitter,Retweet,Fitness,3940,142,1944,37624,55,94953,6.35,22,Wednesday,7,1786,Neutral,Mid-tier,True,True,1,2024,6081,161.62555815436954,64.0422103567028,6.35,37624.0,3940.0,6081.0,True,mid-tier
POST_01760,2024-01-19 21:00:00,Facebook,Video,Sports,7957,303,613,33600,654,333889,2.66,21,Friday,21,408,Positive,Macro,True,False,1,2024,9527,283.5416666666667,28.533434764248,2.66,33600.0,7957.0,9527.0,True,macro
POST_01523,2024-01-20 12:50:00,Twitter,Retweet,Fitness,4251,281,83,43738,197,105394,4.38,12,Saturday,4,520,Neutral,Macro,True,False,1,2024,4812,110.01874799945128,45.657248040685424,4.38,43738.0,4251.0,4812.0,True,macro
POST_02948,2024-01-20 15:58:00,Facebook,Video,Sports,4917,86,380,16484,458,177685,3.03,15,Saturday,9,282,Neutral,Macro,True,False,1,2024,5841,354.34360592089297,32.872780482314205,3.03,16484.0,4917.0,5841.0,True,macro
POST_01783,2024-01-21 01:44:00,Facebook,Post,Sports,7406,273,937,20661,728,220994,3.9,1,Sunday,2,833,Neutral,Macro,True,False,1,2024,9344,452.25303712308215,42.28169090563544,3.9,20661.0,7406.0,9344.0,True,macro
POST_00634,2024-01-22 10:10:00,Facebook,Post,Health,4000,301,563,17282,533,223263,2.18,10,Monday,14,1175,Positive,Macro,False,False,1,2024,5397,312.29024418470084,24.173284422407654,2.18,17282.0,4000.0,5397.0,True,macro
POST_02276,2024-01-24 04:46:00,Facebook,Story,Health,2646,146,360,15128,399,239280,1.32,4,Wednesday,19,1801,Neutral,Macro,True,False,1,2024,3551,234.730301427816,14.840354396522901,1.32,15128.0,2646.0,3551.0,True,macro
POST_04375,2024-01-24 18:36:00,Facebook,Post,Sports,7706,42,138,7407,198,143074,5.51,18,Wednesday,27,1042,Positive,Macro,True,False,1,2024,8084,1091.400027001485,56.50222961544376,5.51,7407.0,7706.0,8084.0,True,macro
POST_02695,2024-01-26 15:57:00,YouTube,Community Post,Health,11912,44,699,370992,966,413785,3.06,15,Friday,28,564,Positive,Macro,True,False,1,2024,13621,36.71507741406823,32.91806131203403,3.06,370992.0,11912.0,13621.0,True,macro
POST_00852,2024-01-30 02:02:00,LinkedIn,Document,Fitness,933,23,105,25316,208,225511,0.47,2,Tuesday,25,1157,Positive,Macro,True,False,1,2024,1269,50.126402275240956,5.627219958228202,0.47,25316.0,933.0,1269.0,True,macro
POST_03367,2024-01-30 08:50:00,Twitter,Poll,Sports,427,134,1710,42573,480,42382,5.36,8,Tuesday,0,197,Positive,Micro,False,False,1,2024,2751,64.61842012543161,64.90963144731255,5.36,42573.0,427.0,2751.0,True,micro
POST_00260,2024-01-30 12:21:00,Instagram,Reel,Fitness,3768,498,25,39951,71,171219,2.51,12,Tuesday,10,524,Negative,Macro,True,True,1,2024,4362,109.18375009386499,25.47614458675731,2.51,39951.0,3768.0,4362.0,True,macro
POST_00309,2024-01-30 15:54:00,TikTok,Stitch,Fitness,17512,1627,1262,489469,642,134117,15.21,15,Tuesday,1,146,Neutral,Macro,True,True,1,2024,21043,42.99148669272211,156.90031837872903,15.21,489469.0,17512.0,21043.0,True,macro
POST_00410,2024-01-30 20:38:00,Instagram,Reel,Sports,8616,380,36,18276,38,13508,66.86,20,Tuesday,16,518,Neutral,Micro,True,False,1,2024,9070,496.2792733639746,671.4539532129108,66.86,18276.0,8616.0,9070.0,True,micro
POST_01262,2024-01-30 23:39:00,TikTok,Duet,Fitness,42835,1976,1787,442991,291,15540,299.86,23,Tuesday,0,507,Neutral,Micro,True,False,1,2024,46889,105.84639417053619,3017.3101673101673,167.99900000000105,442991.0,42835.0,46889.0,True,micro
POST_00277,2024-02-01 07:12:00,TikTok,Duet,Sports,14790,205,564,15956,873,19618,79.31,7,Thursday,8,359,Neutral,Micro,False,False,2,2024,16432,1029.8320381047881,837.5981241716792,79.31,15956.0,14790.0,16432.0,True,micro
POST_01298,2024-02-01 07:18:00,Instagram,Reel,Sports,2029,205,116,18802,710,451007,0.52,7,Thursday,20,97,Positive,Macro,True,False,2,2024,3060,162.748643761302,6.784817087096209,0.52,18802.0,2029.0,3060.0,True,macro
POST_00039,2024-02-02 10:25:00,LinkedIn,Article,Sports,1681,142,450,29763,86,197811,1.15,10,Friday,20,1208,Neutral,Macro,True,False,2,2024,2359,79.25948325101636,11.925524869698855,1.15,29763.0,1681.0,2359.0,True,macro
POST_02814,2024-02-04 01:36:00,Instagram,Carousel,Health,1362,333,260,22391,793,329817,0.59,1,Sunday,13,471,Negative,Macro,True,False,2,2024,2748,122.72788173819839,8.331893140741684,0.59,22391.0,1362.0,2748.0,True,macro
POST_02342,2024-02-04 06:29:00,Instagram,Carousel,Health,7333,154,7,49641,41,435804,1.72,6,Sunday,24,1696,Positive,Macro,True,False,2,2024,7535,151.78985113112145,17.289882607777805,1.72,49641.0,7333.0,7535.0,True,macro
POST_03407,2024-02-04 08:55:00,TikTok,Video,Health,932,1932,1041,146257,944,235097,1.66,8,Sunday,23,165,Positive,Macro,False,True,2,2024,4849,33.15396869893407,20.625529036950706,1.66,146257.0,932.0,4849.0,True,macro
POST_03681,2024-02-07 17:21:00,TikTok,Video,Fitness,20453,1334,627,338354,1842,268255,8.36,17,Wednesday,19,20,Positive,Macro,True,False,2,2024,24256,71.68823185184748,90.42142737320832,8.36,338354.0,20453.0,24256.0,True,macro
POST_00773,2024-02-07 20:12:00,Instagram,Carousel,Health,7480,402,135,30722,445,276016,2.9,20,Wednesday,17,236,Positive,Macro,True,False,2,2024,8462,275.4377970184233,30.657643035186368,2.9,30722.0,7480.0,8462.0,True,macro
POST_02693,2024-02-08 06:58:00,Instagram,Story,Sports,6678,81,122,19446,558,211923,3.25,6,Thursday,25,736,Positive,Macro,True,False,2,2024,7439,382.54653913401216,35.10237208797535,3.25,19446.0,6678.0,7439.0,True,macro
POST_04202,2024-02-09 03:24:00,Instagram,Reel,Fitness,473,240,25,45950,459,118148,0.62,3,Friday,26,319,Neutral,Macro,True,True,2,2024,1197,26.05005440696409,10.131360666282967,0.62,45950.0,473.0,1197.0,True,macro
POST_04539,2024-02-09 08:12:00,Instagram,Story,Fitness,2553,96,106,41898,507,261478,1.05,8,Friday,29,1847,Negative,Macro,True,False,2,2024,3262,77.85574490429137,12.475236922417947,1.05,41898.0,2553.0,3262.0,True,macro
POST_01812,2024-02-10 09:23:00,TikTok,Video,Sports,4189,122,2492,327453,2327,107869,6.31,9,Saturday,4,260,Positive,Macro,True,False,2,2024,9130,27.881863962156398,84.63970186059016,6.31,327453.0,4189.0,9130.0,True,macro
POST_02928,2024-02-10 12:42:00,YouTube,Video,Health,10970,646,482,553073,1401,439999,2.75,12,Saturday,12,400,Positive,Macro,True,False,2,2024,13499,24.40726631023391,30.679615180943593,2.75,553073.0,10970.0,13499.0,True,macro
POST_01489,2024-02-11 06:53:00,Twitter,Thread,Sports,1120,45,722,57869,322,329234,0.57,6,Sunday,23,310,Neutral,Macro,False,True,2,2024,2209,38.1724239229985,6.709513598231045,0.57,57869.0,1120.0,2209.0,True,macro
POST_03060,2024-02-11 11:23:00,YouTube,Community Post,Health,5388,522,979,74836,3442,136789,5.04,11,Sunday,22,1486,Positive,Macro,True,False,2,2024,10331,138.04853279170453,75.52507877095381,5.04,74836.0,5388.0,10331.0,True,macro
POST_00293,2024-02-12 11:34:00,TikTok,Video,Health,4586,392,4131,317141,918,122177,7.46,11,Monday,17,147,Neutral,Macro,True,True,2,2024,10027,31.616851810393484,82.06945660803588,7.46,317141.0,4586.0,10027.0,True,macro
POST_00666,2024-02-12 14:58:00,Instagram,Story,Sports,484,11,158,43498,692,51227,1.27,14,Monday,0,1762,Negative,Mid-tier,True,False,2,2024,1345,30.92096188330498,26.255685478361023,1.27,43498.0,484.0,1345.0,True,mid-tier
POST_02570,2024-02-12 19:47:00,YouTube,Live,Sports,9365,109,1164,557420,3412,185489,5.74,19,Monday,22,57,Positive,Macro,True,False,2,2024,14050,25.20541064188583,75.74573155281446,5.74,557420.0,9365.0,14050.0,True,macro
POST_00708,2024-02-14 13:23:00,TikTok,Video,Fitness,48498,1296,1549,113304,2609,274943,18.67,13,Wednesday,27,339,Positive,Macro,True,True,2,2024,53952,476.1703029019276,196.22976398744467,18.67,113304.0,47071.60000000001,52434.52000000001,True,macro
POST_04665,2024-02-14 19:09:00,TikTok,Video,Sports,11376,1399,793,203752,2168,194449,6.98,19,Wednesday,9,444,Neutral,Macro,True,False,2,2024,15736,77.23114374337429,80.9261040169916,6.98,203752.0,11376.0,15736.0,True,macro
POST_03865,2024-02-14 23:14:00,Instagram,Photo,Health,4364,60,243,40319,267,262252,1.78,23,Wednesday,11,1270,Positive,Macro,True,True,2,2024,4934,122.37406681713337,18.81396519378308,1.78,40319.0,4364.0,4934.0,True,macro
POST_00019,2024-02-14 23:29:00,Twitter,Poll,Fitness,3113,173,1632,88231,81,261947,1.88,23,Wednesday,28,569,Negative,Macro,False,False,2,2024,4999,56.6580906937471,19.084013178238344,1.88,88231.0,3113.0,4999.0,True,macro
POST_02705,2024-02-15 21:54:00,TikTok,Duet,Sports,44037,892,2319,480270,572,198836,23.76,21,Thursday,12,556,Positive,Macro,True,False,2,2024,47820,99.56899244175152,240.4997083023195,23.76,480270.0,44037.0,47820.0,True,macro
POST_00195,2024-02-15 22:27:00,Twitter,Poll,Health,3769,151,879,89406,437,261770,1.83,22,Thursday,21,1473,Negative,Macro,True,False,2,2024,5236,58.564302172113734,20.002292088474615,1.83,89406.0,3769.0,5236.0,True,macro
POST_03768,2024-02-16 15:55:00,Twitter,Poll,Fitness,2400,18,1452,9515,27,439716,0.88,15,Friday,22,511,Neutral,Macro,False,False,2,2024,3897,409.5638465580662,8.862538547608002,0.88,9515.0,2400.0,3897.0,True,macro
POST_00222,2024-02-17 07:30:00,Facebook,Video,Fitness,5780,145,85,57983,414,127495,4.71,7,Saturday,7,533,Positive,Macro,True,False,2,2024,6424,110.79109394132763,50.38628965841798,4.71,57983.0,5780.0,6424.0,True,macro
POST_03547,2024-02-18 17:04:00,Instagram,Reel,Health,1469,108,63,12328,830,459961,0.36,17,Sunday,16,430,Positive,Macro,True,False,2,2024,2470,200.35691109669045,5.370020501738191,0.36,12328.0,1469.0,2470.0,True,macro
POST_00775,2024-02-18 20:21:00,TikTok,Duet,Fitness,22312,1255,2281,390939,2689,489066,5.29,20,Sunday,1,48,Neutral,Macro,True,True,2,2024,28537,72.99604286090668,58.34999775081482,5.29,390939.0,22312.0,28537.0,True,macro
POST_03516,2024-02-19 20:18:00,YouTube,Short,Health,13388,681,990,942967,2031,4930,305.46,20,Monday,24,535,Positive,Nano,True,False,2,2024,17090,18.123645896409947,3466.531440162272,167.99900000000105,879754.8300000004,13388.0,17090.0,True,nano
POST_02471,2024-02-20 17:25:00,Instagram,Story,Fitness,8053,16,69,24990,338,27111,30.02,17,Tuesday,5,307,Positive,Micro,False,False,2,2024,8476,339.17567026810724,312.64062557633434,30.02,24990.0,8053.0,8476.0,True,micro
POST_00882,2024-02-21 09:31:00,LinkedIn,Document,Health,1236,5,179,22027,179,284627,0.5,9,Wednesday,4,340,Positive,Macro,True,False,2,2024,1599,72.59272710764063,5.617878837917696,0.5,22027.0,1236.0,1599.0,True,macro
POST_00538,2024-02-21 10:15:00,Instagram,Carousel,Health,4100,405,147,21162,830,419792,1.11,10,Wednesday,24,1863,Positive,Macro,True,False,2,2024,5482,259.04923920234387,13.058848191485307,1.11,21162.0,4100.0,5482.0,True,macro
POST_02464,2024-02-21 21:46:00,Facebook,Live,Sports,7327,247,357,59370,233,163730,4.84,21,Wednesday,3,364,Positive,Macro,False,True,2,2024,8164,137.51052720229072,49.86257863555854,4.84,59370.0,7327.0,8164.0,True,macro
POST_00586,2024-02-22 09:38:00,Instagram,Photo,Health,1544,161,295,36056,861,2150,93.02,9,Thursday,2,1551,Neutral,Nano,True,False,2,2024,2861,79.34879076991346,1330.6976744186047,93.02,36056.0,1544.0,2861.0,True,nano
POST_04110,2024-02-23 19:00:00,Facebook,Post,Health,2847,133,11,28275,760,317494,0.94,19,Friday,26,966,Neutral,Macro,True,False,2,2024,3751,132.66136162687886,11.814396492532143,0.94,28275.0,2847.0,3751.0,True,macro
POST_02351,2024-02-23 21:13:00,Facebook,Post,Health,4316,68,419,47694,754,85048,5.65,21,Friday,11,1173,Positive,Mid-tier,True,False,2,2024,5557,116.51360758166646,65.33957294704166,5.65,47694.0,4316.0,5557.0,True,mid-tier
POST_04523,2024-02-23 21:53:00,TikTok,Stitch,Health,33864,1921,1455,419809,2595,400549,9.3,21,Friday,1,461,Positive,Macro,True,True,2,2024,39835,94.88838972008699,99.4510034976994,9.3,419809.0,33864.0,39835.0,True,macro
POST_03274,2024-02-24 02:31:00,Facebook,Live,Health,5849,339,974,70307,542,362404,1.98,2,Saturday,28,132,Positive,Macro,True,False,2,2024,7704,109.57657132291237,21.25804350945354,1.98,70307.0,5849.0,7704.0,True,macro
POST_03760,2024-02-24 18:33:00,TikTok,Video,Sports,6931,13,3467,207192,2630,478084,2.18,18,Saturday,12,523,Positive,Macro,True,False,2,2024,13041,62.941619367543154,27.277633219266907,2.18,207192.0,6931.0,13041.0,True,macro
POST_00403,2024-02-25 06:33:00,Facebook,Video,Sports,4650,389,420,11202,794,446124,1.22,6,Sunday,24,433,Neutral,Macro,True,False,2,2024,6253,558.2038921621139,14.016282468551346,1.22,11202.0,4650.0,6253.0,True,macro
POST_02493,2024-02-25 07:39:00,TikTok,Duet,Sports,20850,1993,1143,122828,1019,248852,9.64,7,Sunday,13,297,Neutral,Macro,True,True,2,2024,25005,203.5773602110268,100.48141063764808,9.64,122828.0,20850.0,25005.0,True,macro
POST_00838,2024-02-26 03:33:00,Twitter,Tweet,Health,826,42,893,7820,325,209997,0.84,3,Monday,8,1369,Negative,Macro,True,False,2,2024,2086,266.7519181585678,9.933475240122478,0.84,7820.0,826.0,2086.0,True,macro
POST_02923,2024-02-26 20:41:00,TikTok,Duet,Fitness,42659,321,1281,117661,2277,424806,10.42,20,Monday,5,371,Positive,Macro,True,False,2,2024,46538,395.5261301535768,109.55118336370013,10.42,117661.0,42659.0,46538.0,True,macro
POST_03891,2024-02-27 17:03:00,TikTok,Duet,Health,44045,1364,699,127194,797,364792,12.64,17,Tuesday,29,490,Neutral,Macro,True,False,2,2024,46905,368.7673946884287,128.58012237110464,12.64,127194.0,44045.0,46905.0,True,macro
POST_00793,2024-02-28 02:42:00,Facebook,Story,Sports,5777,262,490,72227,12,49137,13.29,2,Wednesday,26,1293,Negative,Micro,True,False,2,2024,6541,90.5617013028369,133.11760994769725,13.29,72227.0,5777.0,6541.0,True,micro
POST_04263,2024-02-28 11:55:00,Twitter,Poll,Sports,4992,275,1781,47205,333,439521,1.6,11,Wednesday,8,1328,Neutral,Macro,True,True,2,2024,7381,156.36055502595065,16.793281777207458,1.6,47205.0,4992.0,7381.0,True,macro
POST_02884,2024-02-28 19:42:00,Instagram,Photo,Health,5180,460,219,17205,677,176265,3.32,19,Wednesday,6,1517,Positive,Macro,True,False,2,2024,6536,379.8895669863412,37.08053215329192,3.32,17205.0,5180.0,6536.0,True,macro
POST_03803,2024-03-02 15:17:00,TikTok,Video,Sports,38293,1879,3817,22021,214,156443,28.12,15,Saturday,20,156,Negative,Macro,True,False,3,2024,44203,2007.3112029426459,282.5501940003707,28.12,22021.0,38293.0,44203.0,True,macro
POST_02772,2024-03-03 02:13:00,Twitter,Tweet,Fitness,2879,53,269,82122,197,204015,1.57,2,Sunday,23,1418,Positive,Macro,True,True,3,2024,3398,41.3774627992499,16.65563806582849,1.57,82122.0,2879.0,3398.0,True,macro
POST_04252,2024-03-03 08:48:00,Instagram,Story,Health,2030,279,29,23930,822,164510,1.42,8,Sunday,1,135,Positive,Macro,False,True,3,2024,3160,132.05181780192225,19.20855875022795,1.42,23930.0,2030.0,3160.0,True,macro
POST_00558,2024-03-03 15:54:00,Instagram,Photo,Sports,6034,468,296,44331,372,118616,5.73,15,Sunday,25,450,Positive,Macro,True,False,3,2024,7170,161.73783582594572,60.447157213192156,5.73,44331.0,6034.0,7170.0,True,macro
POST_00251,2024-03-04 06:53:00,Twitter,Poll,Fitness,552,153,1130,26474,492,137662,1.33,6,Monday,17,1092,Positive,Macro,False,True,3,2024,2327,87.89755987006119,16.90372070723947,1.33,26474.0,552.0,2327.0,True,macro
POST_03710,2024-03-04 13:56:00,YouTube,Live,Health,7395,16,1896,680864,2808,257944,3.61,13,Monday,12,399,Positive,Macro,True,False,3,2024,12115,17.79356817220473,46.96755884998294,3.61,680864.0,7395.0,12115.0,True,macro
POST_00993,2024-03-04 21:07:00,Twitter,Poll,Sports,3720,73,356,69206,153,323666,1.28,21,Monday,4,1293,Positive,Macro,True,False,3,2024,4302,62.16224026818484,13.291479488114291,1.28,69206.0,3720.0,4302.0,True,macro
POST_02157,2024-03-06 08:14:00,Instagram,Reel,Sports,2423,329,239,14812,625,124791,2.4,8,Wednesday,9,117,Positive,Macro,True,False,3,2024,3616,244.12638401296246,28.976448622096143,2.4,14812.0,2423.0,3616.0,True,macro
POST_03627,2024-03-06 10:27:00,Instagram,Story,Health,4028,256,151,31813,199,15973,27.77,10,Wednesday,11,547,Positive,Micro,True,False,3,2024,4634,145.66372237764435,290.11456833406373,27.77,31813.0,4028.0,4634.0,True,micro
POST_03356,2024-03-06 20:13:00,Instagram,Story,Fitness,9505,294,288,36015,404,483998,2.08,20,Wednesday,5,1927,Positive,Macro,True,False,3,2024,10491,291.29529362765516,21.675709403757864,2.08,36015.0,9505.0,10491.0,True,macro
POST_04382,2024-03-06 22:58:00,Instagram,Carousel,Sports,2504,55,176,4308,270,217131,1.26,22,Wednesday,20,1242,Neutral,Macro,True,False,3,2024,3005,697.539461467038,13.839571502917593,1.26,4308.0,2504.0,3005.0,True,macro
